12	9	9	9	12	12	12	12	12	12	12	9	9	9	9	13	20
12	9	9	9	9	9	9	9	9	9	9	9	9	9	9	13	20
12	9	9	9	9	9	9	9	9	9	9	9	9	9	9	13	20
12	9	9	9	9	9	9	9	9	9	9	9	9	9	9	13	20
12	9	9	9	9	9	9	9	9	9	9	9	9	9	9	13	20
12	9	9	9	9	9	9	9	9	9	9	9	9	9	9	13	20
12	9	9	9	9	9	9	9	9	9	9	9	9	9	9	13	20
12	9	9	9	9	9	9	9	9	9	9	9	9	9	9	13	20
12	9	9	9	12	12	12	12	12	12	12	9	9	9	9	13	20
12	9	9	9	12	12	12	12	12	12	12	9	9	17	15	19	20
12	9	9	9	12	12	12	12	12	12	12	9	9	16	14	18	20
12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12
12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12
